"","Var1","Freq"
"223","CPM",6
"614","MDM2",6
"714","NUP107",6
"1015","SLC35E3",6
"210","CNOT2",5
"225","CPSF6",5
"498","KCNMB4",5
"158","CCT2",4
"211","CNOT2-DT",4
"359","FRS2",4
"596","LYZ",4
"1212","YEATS4",4
"73","ATP23",3
"80","AVIL",3
"93","BEST3",3
"145","CAND1",3
"172","CDK4",3
"242","CTDSP2",3
"246","CYP27B1",3
"272","DYRK2",3
"278","EEF1AKMT3",3
"386","GIHCG",3
"467","IFNG",3
"468","IFNG-AS1",3
"580","LRIG3",3
"583","LRRC10",3
"604","MARCHF9",3
"618","METTL1",3
"663","MYRFL",3
"886","RAB3IP",3
"894","RAP1B",3
"1037","SNORA113",3
"1164","TSFM",3
"1168","TSPAN31",3
"134","C8orf89",2
"191","CHMP4C",2
"290","ELOC",2
"300","FABP12",2
"301","FABP4",2
"302","FABP5",2
"304","FABP9",2
"358","FRMD4B",2
"419","HAO2",2
"429","HEY1",2
"436","HMG20A",2
"437","HMGA2",2
"438","HMGA2-AS1",2
"439","HMGCS2",2
"458","HSD3B1",2
"459","HSD3B2",2
"460","HSD3BP4",2
"471","IL22",2
"473","IL26",2
"474","IL7",2
"476","IMPA1",2
"477","IMPA1P1",2
"490","ISL2",2
"496","KCNB2",2
"564","LINGO1",2
"592","LY96",2
"613","MDM1",2
"630","MITF",2
"641","MRPS28",2
"790","PAG1",2
"803","PEAK1",2
"814","PHF3",2
"815","PHGDH",2
"827","PKIA",2
"834","PMP2",2
"865","PSTPIP1",2
"868","PTP4A1",2
"870","PTPRB",2
"907","RDH10",2
"908","RDH10-AS1",2
"947","RPL7",2
"969","SAMMSON",2
"971","SBSPON",2
"972","SCAPER",2
"998","SLC10A5",2
"1004","SLC16A7",2
"1014","SLC35B3",2
"1042","SNORA70G",2
"1051","SNX16",2
"1071","STAU2",2
"1072","STAU2-AS1",2
"1073","STMN2",2
"1083","TAFA2",2
"1108","TERF1",2
"1140","TMEM70",2
"1153","TPD52",2
"1167","TSPAN3",2
"1179","UBE2W",2
"1215","ZBTB10",2
"1226","ZFAND1",2
"1249","ZNF697",2
"1250","ZNF704",2
"1","AAMDC",1
"2","AATK",1
"3","ABHD11",1
"4","ABHD11-AS1",1
"5","ABHD16B",1
"6","ABHD2",1
"7","ABI3",1
"8","ABI3BP",1
"9","ABTB2",1
"10","ACOX2",1
"11","ACTB",1
"12","ACTG1",1
"13","ACVR1B",1
"14","ACVRL1",1
"15","ADAM30",1
"16","ADAMTS16",1
"17","ADAMTS3",1
"18","ADCK2",1
"19","ADGRG7",1
"20","ADHFE1",1
"21","ADM2",1
"22","ADPRM",1
"23","ADRM1",1
"24","AEBP2",1
"25","AGAP2",1
"26","AGAP2-AS1",1
"27","AHCTF1",1
"28","AIMP2",1
"29","AKR1D1",1
"30","ALCAM",1
"31","ALG8",1
"32","ALOX12",1
"33","ALOX15",1
"34","ALYREF",1
"35","ANAPC11",1
"36","ANAPC15",1
"37","ANKH",1
"38","ANKRD33",1
"39","ANKRD33B",1
"40","ANKRD52",1
"41","ANKRD60",1
"42","ANKRD61",1
"43","ANO1",1
"44","ANP32D",1
"45","ANPEP",1
"46","ANXA9",1
"47","AP3S2",1
"48","AP5Z1",1
"49","APIP",1
"50","APOF",1
"51","AQP11",1
"52","ARAP1",1
"53","ARAP1-AS2",1
"54","ARFGAP1",1
"55","ARFRP1",1
"56","ARHGAP11B",1
"57","ARHGAP44",1
"58","ARHGAP9",1
"59","ARHGDIA",1
"60","ARHGEF10",1
"61","ARHGEF17",1
"62","ARHGEF25",1
"63","ARL16",1
"64","ARPIN",1
"65","ARPIN-AP3S2",1
"66","ARRB1",1
"67","ARSA",1
"68","ASGR1",1
"69","ASGR2",1
"70","ASPSCR1",1
"71","ATF1",1
"72","ATG101",1
"74","ATP5F1B",1
"75","ATP5MC1",1
"76","ATP6V1E1",1
"77","ATP9A",1
"78","ATPSCKMT",1
"79","AURKA",1
"81","AVPR1A",1
"82","B3GNTL1",1
"83","B4GALNT1",1
"84","B4GALNT2",1
"85","BAHCC1",1
"86","BAIAP2",1
"87","BASP1-AS1",1
"88","BAZ1B",1
"89","BAZ2A",1
"90","BBS10",1
"91","BCL6B",1
"92","BCL7B",1
"94","BHLHE23",1
"95","BIN2",1
"96","BIRC7",1
"97","BLACAT1",1
"98","BLM",1
"99","BLOC1S1",1
"100","BLOC1S1-RDH5",1
"101","BLOC1S5",1
"102","BLOC1S5-TXNDC5",1
"103","BMP6",1
"104","BNIPL",1
"105","BRAF",1
"106","BTBD9",1
"107","BUD23",1
"108","C11orf91",1
"109","C12orf54",1
"110","C12orf56",1
"111","C12orf66",1
"112","C12orf80",1
"113","C17orf100",1
"114","C17orf107",1
"115","C17orf49",1
"116","C1orf56",1
"117","C20orf173",1
"118","C20orf204",1
"119","C20orf85",1
"120","C2CD3",1
"121","C2CD4D",1
"122","C2CD4D-AS1",1
"123","C3orf67",1
"124","C4orf19",1
"125","C4orf48",1
"126","C5orf17",1
"127","C6orf58",1
"128","C6orf89",1
"129","C8orf34",1
"130","C8orf34-AS1",1
"131","C8orf44",1
"132","C8orf44-SGK3",1
"133","C8orf48",1
"135","CA1",1
"136","CA10",1
"137","CA13",1
"138","CA2",1
"139","CA3",1
"140","CA3-AS1",1
"141","CABLES2",1
"142","CAGE1",1
"143","CALCOCO2",1
"144","CAMTA2",1
"146","CAPRIN1",1
"147","CAPS2",1
"148","CASC11",1
"149","CASC9",1
"150","CASS4",1
"151","CAT",1
"152","CBLB",1
"153","CCDC137",1
"154","CCDC167",1
"155","CCDC57",1
"156","CCND1",1
"157","CCNT1",1
"159","CCT5",1
"160","CCZ1",1
"161","CD276",1
"162","CD44",1
"163","CD59",1
"164","CD63",1
"165","CD7",1
"166","CD83",1
"167","CDC42SE1",1
"168","CDH10",1
"169","CDH4",1
"170","CDHR3",1
"171","CDK18",1
"173","CDRT15P1",1
"174","CDYL",1
"175","CECR2",1
"176","CELA1",1
"177","CELF3",1
"178","CENPW",1
"179","CENPX",1
"180","CEP131",1
"181","CEP250",1
"182","CEP97",1
"183","CERS2",1
"184","CFAP52",1
"185","CGN",1
"186","CHD2",1
"187","CHIC2",1
"188","CHKB",1
