"","Var1","Freq"
"97","CAND1",3
"145","CPM",3
"183","DYRK2",3
"321","IFNG",3
"322","IFNG-AS1",3
"429","MDM2",3
"497","NUP107",3
"689","SLC35E3",3
"87","C8orf89",2
"127","CHMP4C",2
"195","ELOC",2
"201","FABP12",2
"202","FABP4",2
"203","FABP5",2
"204","FABP9",2
"241","FRMD4B",2
"289","HEY1",2
"293","HMGA2",2
"294","HMGA2-AS1",2
"324","IL22",2
"326","IL26",2
"327","IL7",2
"329","IMPA1",2
"330","IMPA1P1",2
"343","KCNB2",2
"412","LY96",2
"428","MDM1",2
"440","MITF",2
"448","MRPS28",2
"541","PAG1",2
"565","PKIA",2
"568","PMP2",2
"607","RAP1B",2
"618","RDH10",2
"619","RDH10-AS1",2
"644","RPL7",2
"661","SAMMSON",2
"663","SBSPON",2
"682","SLC10A5",2
"709","SNORA70G",2
"715","SNX16",2
"730","STAU2",2
"731","STAU2-AS1",2
"732","STMN2",2
"759","TERF1",2
"777","TMEM70",2
"787","TPD52",2
"803","UBE2W",2
"830","ZBTB10",2
"839","ZFAND1",2
"851","ZNF704",2
"1","ABHD11",1
"2","ABHD11-AS1",1
"3","ABHD16B",1
"4","ABHD2",1
"5","ABI3",1
"6","ACOX2",1
"7","ACTB",1
"8","ACVR1B",1
"9","ACVRL1",1
"10","ADAM30",1
"11","ADCK2",1
"12","ADHFE1",1
"13","ADM2",1
"14","ADPRM",1
"15","ADRM1",1
"16","AGAP2",1
"17","AGAP2-AS1",1
"18","AIMP2",1
"19","AKR1D1",1
"20","ANAPC15",1
"21","ANKRD33",1
"22","ANKRD33B",1
"23","ANKRD52",1
"24","ANKRD60",1
"25","ANKRD61",1
"26","ANO1",1
"27","ANP32D",1
"28","ANPEP",1
"29","ANXA9",1
"30","AP3S2",1
"31","AP5Z1",1
"32","APOF",1
"33","ARFGAP1",1
"34","ARFRP1",1
"35","ARHGAP44",1
"36","ARHGAP9",1
"37","ARHGEF25",1
"38","ARPIN",1
"39","ARPIN-AP3S2",1
"40","ARSA",1
"41","ATF1",1
"42","ATG101",1
"43","ATP23",1
"44","ATP5F1B",1
"45","ATP5MC1",1
"46","ATP9A",1
"47","ATPSCKMT",1
"48","AURKA",1
"49","AVIL",1
"50","B4GALNT1",1
"51","B4GALNT2",1
"52","BAZ1B",1
"53","BAZ2A",1
"54","BBS10",1
"55","BCL7B",1
"56","BEST3",1
"57","BHLHE23",1
"58","BIN2",1
"59","BIRC7",1
"60","BLM",1
"61","BLOC1S1",1
"62","BLOC1S1-RDH5",1
"63","BLOC1S5",1
"64","BLOC1S5-TXNDC5",1
"65","BMP6",1
"66","BNIPL",1
"67","BRAF",1
"68","BTBD9",1
"69","BUD23",1
"70","C12orf54",1
"71","C12orf56",1
"72","C12orf66",1
"73","C12orf80",1
"74","C1orf56",1
"75","C20orf173",1
"76","C20orf204",1
"77","C20orf85",1
"78","C2CD4D",1
"79","C2CD4D-AS1",1
"80","C3orf67",1
"81","C5orf17",1
"82","C6orf89",1
"83","C8orf34",1
"84","C8orf34-AS1",1
"85","C8orf44",1
"86","C8orf44-SGK3",1
"88","CA1",1
"89","CA10",1
"90","CA13",1
"91","CA2",1
"92","CA3",1
"93","CA3-AS1",1
"94","CABLES2",1
"95","CAGE1",1
"96","CALCOCO2",1
"98","CAPS2",1
"99","CASC11",1
"100","CASC9",1
"101","CASS4",1
"102","CCDC167",1
"103","CCND1",1
"104","CCNT1",1
"105","CCT2",1
"106","CCT5",1
"107","CCZ1",1
"108","CD276",1
"109","CD63",1
"110","CD83",1
"111","CDC42SE1",1
"112","CDH10",1
"113","CDH4",1
"114","CDHR3",1
"115","CDK4",1
"116","CDRT15P1",1
"117","CDYL",1
"118","CELA1",1
"119","CELF3",1
"120","CEP250",1
"121","CERS2",1
"122","CFAP52",1
"123","CGN",1
"124","CHKB",1
"125","CHKB-CPT1B",1
"126","CHKB-DT",1
"128","CHRNA4",1
"129","CIB1",1
"130","CLDN3",1
"131","CLDN4",1
"132","CLEC2L",1
"133","CLIP2",1
"134","CMBL",1
"135","CMTR1",1
"136","CNOT2",1
"137","CNOT2-DT",1
"138","CNPY2",1
"139","COL20A1",1
"140","COL9A3",1
"141","COQ10A",1
"142","COX10",1
"143","COX10-AS1",1
"144","CPA6",1
"146","CPNE1",1
"147","CPSF6",1
"148","CPT1B",1
"149","CRCT1",1
"150","CREB3L2",1
"151","CREB3L2-AS1",1
"152","CRISPLD1",1
"153","CRNN",1
"154","CRTC3",1
"155","CRTC3-AS1",1
"156","CS",1
"157","CSPG4",1
"158","CSRNP2",1
"159","CSTF1",1
"160","CTDSP2",1
"161","CTNND2",1
"162","CTTN",1
"163","CYP27B1",1
"164","CYTH3",1
"165","DAGLB",1
"166","DAP",1
"167","DAZAP2",1
"168","DCTN2",1
"169","DDIT3",1
"170","DDX58",1
"171","DENND2A",1
"172","DGKI",1
"173","DHRS7C",1
"174","DIDO1",1
"175","DIP2B",1
"176","DNAJC14",1
"177","DNAJC30",1
"178","DNAJC5",1
"179","DNM1P35",1
"180","DPH3P1",1
"181","DSP",1
"182","DTX3",1
"184","E2F5",1
"185","EDN1",1
"186","EDN3",1
"187","EEF1A2",1
"188","EEF1AKMT3",1
"189","EEF1E1",1
"190","EEF1E1-BLOC1S5",1
"191","EIF2AK1",1
"192","EIF4H",1
"193","ELAC2",1
"194","ELN",1
"196","ERGIC3",1
"197","ETFA",1
"198","EYA1",1
"199","EYS",1
"200","F13A1",1
"205","FADD",1
"206","FAM107A",1
"207","FAM209A",1
"208","FAM209B",1
"209","FAM210B",1
"210","FAM220A",1
"211","FAM3D",1
"212","FAM3D-AS1",1
"213","FAM72B",1
"214","FANCI",1
"215","FARS2",1
"216","FBXL18",1
"217","FBXO22",1
"218","FCGR1B",1
"219","FER1L4",1
"220","FES",1
"221","FGD2",1
"222","FGF19",1
"223","FGF3",1
"224","FGF4",1
"225","FIGNL2",1
"226","FIGNL2-DT",1
"227","FKBP6",1
"228","FLG",1
"229","FLG-AS1",1
"230","FLG2",1
"231","FLJ16779",1
"232","FLJ40194",1
"233","FMC1",1
"234","FMC1-LUC7L2",1
"235","FNDC11",1
"236","FNTA",1
"237","FOLR1",1
"238","FOLR2",1
"239","FOLR3",1
"240","FOXK1",1
"242","FRS2",1
"243","FSCN1",1
"244","FURIN",1
"245","FZD9",1
"246","GABARAPL3",1
"247","GABPB2",1
"248","GALNT6",1
"249","GAS7",1
"250","GATA5",1
"251","GBAT2",1
"252","GCNT7",1
"253","GDAP1",1
"254","GDF11",1
"255","GDF5",1
"256","GDF5OS",1
"257","GDPGP1",1
"258","GFOD1",1
"259","GID8",1
"260","GIHCG",1
"261","GIP",1
"262","GLI1",1
"263","GLIPR1",1
"264","GLIPR1L1",1
"265","GLIPR1L2",1
"266","GLS2",1
"267","GMEB2",1
"268","GNGT2",1
"269","GNS",1
"270","GPC5",1
"271","GPC5-AS2",1
"272","GPR182",1
"273","GRASP",1
"274","GRASP-AS1",1
"275","GRID2IP",1
"276","GRIP1",1
"277","GSG1L2",1
"278","H1-7",1
"279","H2BP1",1
"280","H3P4",1
"281","HAO2",1
"282","HAO2-IT1",1
"283","HAR1A",1
"284","HAR1B",1
"285","HCN4",1
"286","HDDC3",1
"287","HELB",1
"288","HELZ2",1
"290","HIGD1C",1
"291","HIPK2",1
"292","HMG20A",1
"295","HMGCS2",1
"296","HNF4G",1
"297","HOOK3",1
"298","HOTAIR",1
"299","HOXC-AS1",1
"300","HOXC-AS2",1
"301","HOXC-AS3",1
"302","HOXC10",1
"303","HOXC11",1
"304","HOXC12",1
"305","HOXC4",1
"306","HOXC5",1
"307","HOXC6",1
"308","HOXC8",1
"309","HOXC9",1
"310","HRH3",1
"311","HRNR",1
"312","HS3ST3A1",1
"313","HSD17B6",1
"314","HSD3B1",1
"315","HSD3B2",1
"316","HSD3BP4",1
"317","HSPB1",1
"318","HULC",1
"319","IDH2",1
"320","IDH2-DT",1
"323","IGF2BP1",1
"325","IL23A",1
"328","IMP3",1
"331","INHBC",1
"332","INHBE",1
"333","INPPL1",1
"334","INSYN1",1
"335","INSYN1-AS1",1
"336","INTS15",1
"337","IQGAP1",1
"338","IRAK3",1
"339","ISL2",1
"340","ITGA7",1
"341","JPH1",1
"342","KANSL2",1
"344","KCNMB4",1
"345","KCNQ2",1
"346","KCTD6",1
"347","KDELR2",1
"348","KDM7A",1
"349","KDM7A-DT",1
"350","KIAA1549",1
"351","KIF5A",1
"352","KIF7",1
"353","KLHDC7B",1
"354","KLRG2",1
"355","KRR1",1
"356","KRT1",1
"357","KRT2",1
"358","KRT5",1
"359","KRT6A",1
"360","KRT6B",1
"361","KRT6C",1
"362","KRT7",1
"363","KRT7-AS",1
"364","KRT71",1
"365","KRT72",1
"366","KRT73",1
"367","KRT73-AS1",1
"368","KRT74",1
"369","KRT75",1
"370","KRT77",1
"371","KRT80",1
"372","KRT81",1
"373","KRT82",1
"374","KRT83",1
"375","KRT84",1
"376","KRT85",1
"377","KRT86",1
"378","KRT87P",1
"379","LACTB2",1
"380","LACTB2-AS1",1
"381","LALBA",1
"382","LAMA5",1
"383","LAMA5-AS1",1
"384","LAMTOR1",1
"385","LAT2",1
"386","LCE5A",1
"387","LEMD3",1
"388","LETMD1",1
"389","LGSN",1
"390","LIME1",1
"391","LIMK1",1
"392","LINGO1",1
"393","LINGO1-AS1",1
"394","LINGO1-AS2",1
"395","LINGO4",1
"396","LKAAEAR1",1
"397","LLPH",1
"398","LLPH-DT",1
"399","LMF2",1
"400","LNCOG",1
"401","LRIG3",1
"402","LRP1",1
"403","LRP1-AS",1
"404","LRRC10",1
"405","LRRCC1",1
"406","LRTOMT",1
"407","LSM14B",1
"408","LTO1",1
"409","LUC7L2",1
"410","LY86",1
"411","LY86-AS1",1
"413","LYRM4",1
"414","LYRM4-AS1",1
"415","LYSMD1",1
"416","LYZ",1
"417","MAN2A2",1
"418","MAPK8IP2",1
"419","MARCHF6",1
"420","MARCHF9",1
"421","MARS1",1
"422","MBD6",1
"423","MC3R",1
"424","MCMDC2",1
"425","MCUR1",1
"426","MDFIC2",1
"427","MDGA1",1
"430","MESP1",1
"431","MESP2",1
"432","METTL1",1
"433","METTL27",1
"434","METTL7A",1
"435","METTL7B",1
"436","MHENCR",1
"437","MINDY1",1
"438","MIOX",1
"439","MIP",1
"441","MKRN1",1
"442","MLLT11",1
"443","MLXIPL",1
"444","MMD2",1
"445","MMP19",1
"446","MRGBP",1
"447","MRPL9",1
"449","MRPS33",1
"450","MSC",1
"451","MSC-AS1",1
"452","MSRB3",1
"453","MTCH1",1
"454","MTG2",1
"455","MYBL1",1
"456","MYC",1
"457","MYEOV",1
"458","MYH1",1
"459","MYH2",1
"460","MYH3",1
"461","MYH4",1
"462","MYH8",1
"463","MYO1A",1
"464","MYRFL",1
"465","NAB2",1
"466","NABP2",1
"467","NACA",1
"468","NAP1L1",1
"469","NBPF18P",1
"470","NBPF26",1
"471","NBPF7",1
"472","NBPF8",1
"473","NCAPH2",1
"474","NCOA2",1
"475","NDUFA4L2",1
"476","NDUFB2",1
"477","NDUFB2-AS1",1
"478","NDUFB6",1
"479","NEMP1",1
"480","NEO1",1
"481","NEUROD4",1
"482","NFATC2",1
"483","NFS1",1
"484","NGRN",1
"485","NKAIN4",1
"486","NOL7",1
"487","NOTCH2",1
"488","NOTCH2NLR",1
"489","NPBWR2",1
"490","NPTN",1
"491","NPTN-IT1",1
"492","NR4A1",1
"493","NRG4",1
"494","NRN1",1
"495","NTSR1",1
"496","NUMA1",1
"498","NXPH4",1
"499","OAZ3",1
"500","OCM",1
"501","ODF3B",1
"502","ODF3L1",1
"503","OGFR",1
"504","OGFR-AS1",1
"505","OPRL1",1
"506","OR10A7",1
"507","OR10P1",1
"508","OR2AP1",1
"509","OR5AP2",1
"510","OR5AR1",1
"511","OR5M1",1
"512","OR5M10",1
"513","OR5M11",1
"514","OR5M3",1
"515","OR5M8",1
"516","OR5M9",1
"517","OR6C1",1
"518","OR6C2",1
"519","OR6C3",1
"520","OR6C4",1
"521","OR6C6",1
"522","OR6C65",1
"523","OR6C68",1
"524","OR6C70",1
"525","OR6C74",1
"526","OR6C75",1
"527","OR6C76",1
"528","OR7E47P",1
"529","OR8H1",1
"530","OR8J1",1
"531","OR8K1",1
"532","OR8K3",1
"533","OR8S1",1
"534","OR8U1",1
"535","OR8U3",1
"536","OR9K2",1
"537","ORMDL2",1
"538","OS9",1
"539","OSBPL2",1
"540","OSBPL8",1
"542","PAN2",1
"543","PAPOLB",1
"544","PARP12",1
"545","PEAK1",1
"546","PEX11A",1
"547","PEX2",1
"548","PFN1P2",1
"549","PHACTR1",1
"550","PHACTR3",1
"551","PHACTR3-AS1",1
"552","PHF20",1
"553","PHF3",1
"554","PHGDH",1
"555","PHLDA1",1
"556","PHOSPHO1",1
"557","PI15",1
"558","PI16",1
"559","PI4KB",1
"560","PIM1",1
"561","PIP4K2C",1
"562","PIP5K1A",1
"563","PIP5K1P1",1
"564","PIRT",1
"566","PKIA-AS1",1
"567","PLIN1",1
"569","PMS2",1
"570","POGZ",1
"571","POLG",1
"572","POMK",1
"573","POU6F1",1
"574","PPDPF",1
"575","PPFIA1",1
"576","PPIAL4A",1
"577","PPIL1",1
"578","PPP1R3G",1
"579","PPP1R42",1
"580","PPP4R1L",1
"581","PRC1",1
"582","PRC1-AS1",1
"583","PRDM14",1
"584","PREX2",1
"585","PRIM1",1
"586","PRPF6",1
"587","PRUNE1",1
"588","PSMA7",1
"589","PSMB4",1
"590","PSMD4",1
"591","PSTPIP1",1
"592","PTGES3",1
"593","PTK6",1
"594","PTP4A1",1
"595","PTPN9",1
"596","PTTG3P",1
"597","PVT1",1
"598","PYM1",1
"599","R3HDM2",1
"600","RAB19",1
"601","RAB22A",1
"602","RAB3IP",1
"603","RAC1",1
"604","RADIL",1
"605","RALYL",1
"606","RANBP9",1
"608","RASSF3",1
"609","RBAK",1
"610","RBAK-RBAKDN",1
"611","RBBP8NL",1
"612","RBIS",1
"613","RBM12",1
"614","RBM39",1
"615","RBMS2",1
"616","RCCD1",1
"617","RCVRN",1
"620","RDH16",1
"621","RDH5",1
"622","REC114",1
"623","REG4",1
"624","REXO1L2P",1
"625","RFC2",1
"626","RFX5",1
"627","RGS19",1
"628","RHCG",1
"629","RIIAD1",1
"630","RIOK1",1
"631","RLBP1",1
"632","RNF170",1
"633","RNF182",1
"634","RNF216",1
"635","RNF41",1
"636","RNF8",1
"637","RNVU1-19",1
"638","RNVU1-20",1
"639","RNVU1-4",1
"640","ROMO1",1
"641","ROPN1L",1
"642","ROPN1L-AS1",1
"643","RORC",1
"645","RPP40",1
"646","RPS21",1
"647","RPSAP52",1
"648","RPTN",1
"649","RREB1",1
"650","RRS1",1
"651","RRS1-AS1",1
"652","RSPH10B",1
"653","RSPH10B2",1
"654","RTEL1",1
"655","RTEL1-TNFRSF6B",1
"656","RTF2",1
"657","S100A10",1
"658","S100A11",1
"659","SALL4",1
"660","SAMD10",1
"662","SARNP",1
"664","SCAPER",1
"665","SCARNA27",1
"666","SCAT8",1
"667","SCN8A",1
"668","SCNM1",1
"669","SCO1",1
"670","SCO2",1
"671","SDR9C7",1
"672","SEC22B",1
"673","SELENBP1",1
"674","SEMA4B",1
"675","SEMA6C",1
"676","SETDB1",1
"677","SGK3",1
"678","SHANK3",1
"679","SHMT2",1
"680","SIN3A",1
"681","SIRT5",1
"683","SLC11A2",1
"684","SLC17A9",1
"685","SLC26A10",1
"686","SLC29A4",1
"687","SLC2A4RG",1
"688","SLC35B3",1
"690","SLC37A3",1
"691","SLC39A5",1
"692","SLC4A8",1
"693","SLCO4A1",1
"694","SLCO4A1-AS1",1
"695","SLCO5A1",1
"696","SMAGP",1
"697","SMIM10L3",1
"698","SMIM27",1
"699","SMIM38",1
"700","SMIM41",1
"701","SNF8",1
"702","SNHG6",1
"703","SNORA105C",1
"704","SNORA113",1
"705","SNORA117",1
"706","SNORA2A",1
"707","SNORA2B",1
"708","SNORA2C",1
"710","SNORD59A",1
"711","SNORD59B",1
"712","SNORD87",1
"713","SNRNP48",1
"714","SNUPN",1
"716","SNX27",1
"717","SNX33",1
"718","SOX18",1
"719","SPAG4",1
"720","SPRYD4",1
"721","SRGAP1",1
"722","SRGAP2C",1
"723","SRMS",1
"724","SRRM3",1
"725","SS18L1",1
"726","SSR1",1
"727","STAC3",1
"728","STAT2",1
"729","STAT6",1
"733","STMN3",1
"734","STX1A",1
"735","SULF1",1
"736","SV2B",1
"737","SYCE3",1
"738","SYPL1",1
"739","TAC3",1
"740","TAF1L",1
"741","TAF4",1
"742","TAFA2",1
"743","TBC1D21",1
"744","TBC1D22B",1
"745","TBC1D30",1
"746","TBC1D7",1
"747","TBC1D7-LOC100130357",1
"748","TBK1",1
"749","TBL2",1
