"","Var1","Freq"
"80","CNOT2",4
"87","CPSF6",4
"176","KCNMB4",4
"57","CCT2",3
"81","CNOT2-DT",3
"86","CPM",3
"130","FRS2",3
"206","LYZ",3
"213","MDM2",3
"248","NUP107",3
"367","SLC35E3",3
"432","YEATS4",3
"31","ATP23",2
"33","AVIL",2
"40","BEST3",2
"62","CDK4",2
"92","CTDSP2",2
"94","CYP27B1",2
"102","EEF1AKMT3",2
"140","GIHCG",2
"203","LRIG3",2
"204","LRRC10",2
"211","MARCHF9",2
"215","METTL1",2
"229","MYRFL",2
"311","PTPRB",2
"321","RAB3IP",2
"360","SLC16A7",2
"375","SNORA113",2
"417","TSFM",2
"420","TSPAN31",2
"1","AAMDC",1
"2","AATK",1
"3","ABI3BP",1
"4","ABTB2",1
"5","ACTG1",1
"6","ADAMTS16",1
"7","ADAMTS3",1
"8","ADGRG7",1
"9","AEBP2",1
"10","AHCTF1",1
"11","ALCAM",1
"12","ALG8",1
"13","ALOX12",1
"14","ALOX15",1
"15","ALYREF",1
"16","ANAPC11",1
"17","ANKH",1
"18","APIP",1
"19","AQP11",1
"20","ARAP1",1
"21","ARAP1-AS2",1
"22","ARHGAP11B",1
"23","ARHGDIA",1
"24","ARHGEF10",1
"25","ARHGEF17",1
"26","ARL16",1
"27","ARRB1",1
"28","ASGR1",1
"29","ASGR2",1
"30","ASPSCR1",1
"32","ATP6V1E1",1
"34","AVPR1A",1
"35","B3GNTL1",1
"36","BAHCC1",1
"37","BAIAP2",1
"38","BASP1-AS1",1
"39","BCL6B",1
"41","BLACAT1",1
"42","C11orf91",1
"43","C17orf100",1
"44","C17orf107",1
"45","C17orf49",1
"46","C2CD3",1
"47","C4orf19",1
"48","C4orf48",1
"49","C6orf58",1
"50","C8orf48",1
"51","CAMTA2",1
"52","CAPRIN1",1
"53","CAT",1
"54","CBLB",1
"55","CCDC137",1
"56","CCDC57",1
"58","CD44",1
"59","CD59",1
"60","CD7",1
"61","CDK18",1
"63","CECR2",1
"64","CENPW",1
"65","CENPX",1
"66","CEP131",1
"67","CEP97",1
"68","CHD2",1
"69","CHIC2",1
"70","CHRDL2",1
"71","CHRFAM7A",1
"72","CHRNE",1
"73","CIB2",1
"74","CLDN23",1
"75","CLEC10A",1
"76","CLN8",1
"77","CLNS1A",1
"78","CLVS2",1
"79","CMSS1",1
"82","CNST",1
"83","CNTN5",1
"84","COA4",1
"85","COL8A1",1
"88","CSNK1D",1
"89","CSTF3",1
"90","CTD-2297D10.2",1
"91","CTD-2350J17.1",1
"93","CYBC1",1
"95","DCXR",1
"96","DEPDC7",1
"97","DNAJB13",1
"98","DPY19L2",1
"99","DSTYK",1
"100","DUS1L",1
"101","ECHDC1",1
"103","EFCAB2",1
"104","EHF",1
"105","ELF5",1
"106","ELFN1",1
"107","ELK4",1
"108","ENO3",1
"109","ERI1",1
"110","ERVMER34-1",1
"111","FAAP100",1
"112","FABP7",1
"113","FAM114A1",1
"114","FAM168A",1
"115","FAM53A",1
"116","FAM86FP",1
"117","FAM90A1",1
"118","FASN",1
"119","FBXL17",1
"120","FBXL7",1
"121","FBXO25",1
"122","FBXO3",1
"123","FER",1
"124","FGFR3",1
"125","FILIP1L",1
"126","FJX1",1
"127","FN3K",1
"128","FN3KRP",1
"129","FOXK2",1
"131","FSCN2",1
"132","GC",1
"133","GCGR",1
"134","GCSAML",1
"135","GCSAML-AS1",1
"136","GDPD4",1
"137","GDPD5",1
"138","GGT6",1
"139","GGTLC2",1
"141","GJA1",1
"142","GNAZ",1
"143","GOLGA8H",1
"144","GOLGA8J",1
"145","GOLGA8K",1
"146","GOLGA8O",1
"147","GOLGA8Q",1
"148","GOLGA8R",1
"149","GOLGA8T",1
"150","GP1BA",1
"151","GPS1",1
"152","GSX2",1
"153","HAO2",1
"154","HDDC2",1
"155","HEXD",1
"156","HEY2",1
"157","HGS",1
"158","HINT3",1
"159","HIPK3",1
"160","HMG20A",1
"161","HMGCS2",1
"162","HSD3B1",1
"163","HSD3B2",1
"164","HSD3BP4",1
"165","HSF2",1
"166","IDH3A",1
"167","IGLL5",1
"168","IMPG2",1
"169","INCA1",1
"170","INTS4",1
"171","IQCG",1
"172","ISL2",1
"173","KBTBD11",1
"174","KBTBD11-OT1",1
"175","KCNE3",1
"177","KCTD21-AS1",1
"178","KDR",1
"179","KIAA0408",1
"180","KIAA0753",1
"181","KIAA1549L",1
"182","KIF16B",1
"183","KIF1C",1
"184","KLB",1
"185","KLF3",1
"186","KLHDC8A",1
"187","KLHL35",1
"188","KLHL5",1
"189","LEMD1",1
"190","LEMD1-AS1",1
"191","LEMD1-DT",1
"192","LETM1",1
"193","LGR5",1
"194","LIAS",1
"195","LINGO1",1
"196","LIPT2",1
"197","LMLN",1
"198","LMO2",1
"199","LNP1",1
"200","LOC122526780",1
"201","LOC128125822",1
"202","LOC128966610",1
"205","LRRC45",1
"207","MACROD2",1
"208","MAFG",1
"209","MAN2A1",1
"210","MARCHF11",1
"212","MCRIP1",1
"214","MED31",1
"216","MFHAS1",1
"217","MFSD4A",1
"218","MFSD4A-AS1",1
"219","MINK1",1
"220","MON2",1
"221","MRPL12",1
"222","MRPL48",1
"223","MRS2P2",1
"224","MTCL3",1
"225","MYADML2",1
"226","MYBBP1A",1
